time;p_scr
2026-03-17T18:40:45.276244;0.0047
2026-03-17T19:01:52.830905;0.0019
2026-03-17T19:03:16.906403;0.9966
2026-03-17T19:15:48.978596;0.9624
2026-03-18T18:06:58.361624;0.0894
2026-03-18T21:08:42.541573;0.0556
2026-03-18T22:05:21.825156;0.8594
2026-03-18T22:15:43.727372;0.9765
2026-03-19T15:01:27.109290;0.2868
2026-03-24T15:46:24.725035;0.019
2026-03-24T15:47:35.389077;0.0132
2026-03-25T14:16:48.546286;0.0071
2026-03-25T14:17:52.777934;0.9976
2026-03-26T13:12:07.469505;0.0009
2026-03-26T13:13:18.283220;0.9905
2026-03-27T21:50:32.846402;0.0002
2026-03-27T21:50:49.230031;0.9978
2026-04-02T18:00:45.412210;0.0
2026-04-02T18:02:20.314126;0.9894
2026-04-06T15:51:02.242016;0.0001
2026-04-06T15:51:15.462799;0.0
2026-04-06T15:51:50.804972;0.9963
